,Type,Name
138,Clear,RCAG_20120103_011500_59.fit.gz
139,Clear,RCAG_20120103_013000_59.fit.gz
140,Background noise,RCAG_20120103_014500_59.fit.gz
141,Background noise,SSRT_20120103_020000_59.fit.gz
142,Clear,RCAG_20120103_021500_59.fit.gz
143,Clear,SSRT_20120103_023000_59.fit.gz
144,Clear,SSRT_20120103_024500_59.fit.gz
145,Clear,SSRT_20120103_033000_59.fit.gz
146,Clear,SSRT_20120103_040000_59.fit.gz
147,Clear,SSRT_20120103_041500_59.fit.gz
148,Type 2,KRIM_20120103_050342_00.fit.gz
149,Type 2,KRIM_20120103_051842_00.fit.gz
150,Type 2,KRIM_20120103_053342_00.fit.gz
151,Type 2,KRIM_20120103_054842_00.fit.gz
152,Type 2,KRIM_20120103_060342_00.fit.gz
153,Background noise,KRIM_20120103_061842_00.fit.gz
154,Background noise,KRIM_20120103_063342_00.fit.gz
155,Background noise,KRIM_20120103_064842_00.fit.gz
156,Background noise,KRIM_20120103_070342_00.fit.gz
157,Background noise,HURBANOVO_20120103_071500_59.fit.gz
158,Background noise,KRIM_20120103_071842_00.fit.gz
159,Type 3,DARO_20120103_073000_59.fit.gz
160,Background noise,KRIM_20120103_073342_00.fit.gz
161,Background noise,BLENSW_20120103_074501_59.fit.gz
162,Background noise,KRIM_20120103_074842_00.fit.gz
163,Background noise,BLENSW_20120103_080006_59.fit.gz
164,Background noise,KRIM_20120103_080342_00.fit.gz
165,Background noise,INPE_20120103_081045_59.fit.gz
166,Background noise,BLENSW_20120103_081514_59.fit.gz
167,Type 3,KRIM_20120103_081843_00.fit.gz
168,Background noise,BLENSW_20120103_083018_59.fit.gz
169,Background noise,KRIM_20120103_083343_00.fit.gz
170,Background noise,BLENSW_20120103_084520_59.fit.gz
171,Clear,KRIM_20120103_084842_00.fit.gz
172,Background noise,BLENSW_20120103_090025_59.fit.gz
173,Background noise,KRIM_20120103_090343_00.fit.gz
174,Background noise,BLENSW_20120103_091526_59.fit.gz
175,Clear,KRIM_20120103_091843_00.fit.gz
176,Background noise,BLENSW_20120103_093032_59.fit.gz
177,Clear,KRIM_20120103_093343_00.fit.gz
178,Background noise,BLENSW_20120103_094535_59.fit.gz
179,Background noise,KRIM_20120103_094843_00.fit.gz
180,Background noise,BLENSW_20120103_100037_59.fit.gz
181,Clear,KRIM_20120103_100343_00.fit.gz
182,Background noise,BLENSW_20120103_101542_59.fit.gz
183,Background noise,KRIM_20120103_101843_00.fit.gz
184,Background noise,KRIM_20120103_103343_00.fit.gz
185,Background noise,KRIM_20120103_104843_00.fit.gz
186,Background noise,KRIM_20120103_110343_00.fit.gz
187,Background noise,BLEN7M_20120103_111518_25.fit.gz
188,Clear,KRIM_20120103_111843_00.fit.gz
189,Background noise,BLENSW_20120103_113009_59.fit.gz
190,Type 3,KRIM_20120103_113343_00.fit.gz
191,Background noise,BLENSW_20120103_114514_59.fit.gz
192,Background noise,BLENSW_20120103_120016_59.fit.gz
193,Background noise,BLENSW_20120103_121520_59.fit.gz
194,Background noise,BLENSW_20120103_123024_59.fit.gz
195,Background noise,BLENSW_20120103_124529_59.fit.gz
196,Background noise,BLENSW_20120103_130032_59.fit.gz
197,Background noise,BLENSW_20120103_131535_59.fit.gz
198,Background noise,BLENSW_20120103_133043_59.fit.gz
199,Background noise,BLENSW_20120103_134547_59.fit.gz
200,Background noise,BLENSW_20120103_140054_59.fit.gz
201,Background noise,BLENSW_20120103_141559_59.fit.gz
202,Background noise,BLENSW_20120103_143102_59.fit.gz
203,Background noise,BLENSW_20120103_144605_59.fit.gz
204,Background noise,BLEN7M_20120103_150016_25.fit.gz
205,Background noise,DARO_20120103_151502_59.fit.gz
206,Background noise,INPE_20120103_153000_59.fit.gz
207,Background noise,INPE_20120103_154500_59.fit.gz
208,Background noise,INPE_20120103_160000_59.fit.gz
209,Background noise,INPE_20120103_161500_59.fit.gz
210,Background noise,INPE_20120103_163000_59.fit.gz
211,Background noise,INPE_20120103_164500_58.fit.gz
212,Background noise,INPE_20120103_170000_58.fit.gz
213,Background noise,INPE_20120103_171500_58.fit.gz
214,Background noise,INPE_20120103_173000_58.fit.gz
215,Background noise,INPE_20120103_174500_58.fit.gz
216,Background noise,INPE_20120103_180000_58.fit.gz
217,Background noise,INPE_20120103_181500_58.fit.gz
218,Type 3,INPE_20120103_183000_58.fit.gz
219,Background noise,INPE_20120103_184500_58.fit.gz
220,Background noise,MRTU_20120103_190000_59.fit.gz
221,Background noise,INPE_20120103_191500_58.fit.gz
222,Background noise,INPE_20120103_193000_58.fit.gz
223,Background noise,INPE_20120103_194500_58.fit.gz
224,Background noise,BIR_20120103_200000_02.fit.gz
225,Background noise,BIR_20120103_201500_02.fit.gz
226,Background noise,ALASKA_20120103_203000_59.fit.gz
227,Background noise,ALASKA_20120103_204500_59.fit.gz
228,Background noise,ALASKA_20120103_210000_59.fit.gz
229,Background noise,ALASKA_20120103_211500_59.fit.gz
230,Background noise,ALASKA_20120103_213000_59.fit.gz
231,Background noise,ALASKA_20120103_214500_59.fit.gz
232,Background noise,ALASKA_20120103_220000_59.fit.gz
233,Background noise,ALASKA_20120103_221500_59.fit.gz
234,Background noise,ALASKA_20120103_223000_59.fit.gz
235,Background noise,ALASKA_20120103_224500_59.fit.gz
236,Background noise,ALASKA_20120103_230000_59.fit.gz
237,Background noise,ALASKA_20120103_231500_59.fit.gz
238,Background noise,ALASKA_20120103_233000_59.fit.gz
239,Background noise,ALASKA_20120103_234500_59.fit.gz
240,Background noise,ALASKA_20120104_000000_59.fit.gz
241,Background noise,ALASKA_20120104_001500_59.fit.gz
242,Background noise,ALASKA_20120104_003000_59.fit.gz
243,Background noise,ALASKA_20120104_004500_59.fit.gz
244,Background noise,ALASKA_20120104_010000_59.fit.gz
245,Type 3,ALMATY_20120104_014000_59.fit.gz
246,Background noise,MRTU_20120104_020000_59.fit.gz
247,Clear,ALMATY_20120104_021000_59.fit.gz
248,Type 3,RCAG_20120104_021502_59.fit.gz
249,Clear,ALMATY_20120104_022500_59.fit.gz
250,Background noise,MRTU_20120104_023000_59.fit.gz
251,Background noise,ALMATY_20120104_024000_59.fit.gz
252,Clear,RCAG_20120104_024502_59.fit.gz
253,Clear,RCAG_20120104_030002_59.fit.gz
254,Background noise,ALMATY_20120104_031000_59.fit.gz
255,Background noise,MRTU_20120104_031457_59.fit.gz
256,Background noise,ALMATY_20120104_032500_59.fit.gz
257,Background noise,MRTU_20120104_032957_59.fit.gz
258,Background noise,MRTU_20120104_034457_59.fit.gz
259,Background noise,MRTU_20120104_035957_59.fit.gz
260,Background noise,ALMATY_20120104_041000_59.fit.gz
261,Background noise,MRTU_20120104_041457_59.fit.gz
262,Background noise,ALMATY_20120104_042500_59.fit.gz
263,Background noise,MRTU_20120104_042957_59.fit.gz
264,Background noise,ALMATY_20120104_044000_59.fit.gz
265,Background noise,MRTU_20120104_044457_59.fit.gz
266,Background noise,ALMATY_20120104_045500_59.fit.gz
267,Background noise,MRTU_20120104_045957_59.fit.gz
268,Background noise,KRIM_20120104_050410_00.fit.gz
269,Background noise,ALMATY_20120104_051000_59.fit.gz
270,Background noise,MRTU_20120104_051457_59.fit.gz
271,Type 2,KRIM_20120104_051910_00.fit.gz
272,Background noise,ALMATY_20120104_052500_59.fit.gz
273,Background noise,MRTU_20120104_052957_59.fit.gz
274,Type 2,KRIM_20120104_053410_00.fit.gz
275,Clear,ALMATY_20120104_054000_59.fit.gz
276,Background noise,MRTU_20120104_054457_59.fit.gz
277,Type 2,KRIM_20120104_054910_00.fit.gz
278,Clear,ALMATY_20120104_055500_59.fit.gz
279,Background noise,MRTU_20120104_060000_59.fit.gz
280,Type 2,KRIM_20120104_060410_00.fit.gz
281,Clear,ALMATY_20120104_061000_59.fit.gz
282,Background noise,MRTU_20120104_061500_59.fit.gz
283,Clear,KRIM_20120104_061910_00.fit.gz
284,Clear,ALMATY_20120104_062500_59.fit.gz
285,Background noise,SSRT_20120104_063000_59.fit.gz
286,Background noise,KRIM_20120104_063410_00.fit.gz
287,Background noise,MRTU_20120104_064500_59.fit.gz
288,Background noise,KRIM_20120104_064910_00.fit.gz
289,Background noise,MRTU_20120104_070000_59.fit.gz
290,Background noise,KRIM_20120104_070410_00.fit.gz
291,Background noise,MRTU_20120104_071500_59.fit.gz
292,Background noise,KRIM_20120104_071910_00.fit.gz
293,Background noise,MRTU_20120104_073000_59.fit.gz
294,Background noise,KRIM_20120104_073410_00.fit.gz
295,Background noise,BLENSW_20120104_074502_59.fit.gz
296,Background noise,KRIM_20120104_074910_00.fit.gz
297,Background noise,BLENSW_20120104_080005_59.fit.gz
298,Background noise,KRIM_20120104_080410_00.fit.gz
299,Background noise,BLENSW_20120104_081507_59.fit.gz
300,Clear,KRIM_20120104_081910_00.fit.gz
301,Background noise,BLENSW_20120104_083010_59.fit.gz
302,Background noise,KRIM_20120104_083410_00.fit.gz
303,Background noise,BLENSW_20120104_084514_59.fit.gz
304,Background noise,KRIM_20120104_084910_00.fit.gz
305,Background noise,OSRA_20120104_085301_59.fit.gz
306,Background noise,BLENSW_20120104_090016_59.fit.gz
307,Type 3,KRIM_20120104_090410_00.fit.gz
308,Background noise,BLENSW_20120104_091517_59.fit.gz
309,Background noise,KRIM_20120104_091910_00.fit.gz
310,Background noise,BLENSW_20120104_093022_59.fit.gz
311,Background noise,HURBANOVO_20120104_093542_59.fit.gz
312,Background noise,BLENSW_20120104_094526_59.fit.gz
313,Background noise,HURBANOVO_20120104_095042_59.fit.gz
314,Background noise,BLENSW_20120104_100031_59.fit.gz
315,Background noise,HURBANOVO_20120104_100543_59.fit.gz
316,Background noise,BLENSW_20120104_101531_59.fit.gz
317,Type 3,HURBANOVO_20120104_102042_59.fit.gz
318,Background noise,BLENSW_20120104_103035_59.fit.gz
319,Background noise,HURBANOVO_20120104_103542_59.fit.gz
320,Background noise,BLENSW_20120104_104536_59.fit.gz
321,Type 3,KRIM_20120104_104910_00.fit.gz
322,Background noise,BLENSW_20120104_110039_59.fit.gz
323,Background noise,KRIM_20120104_110410_00.fit.gz
324,Background noise,BLEN7M_20120104_111518_25.fit.gz
325,Background noise,KRIM_20120104_111911_00.fit.gz
326,Background noise,MRTU_20120104_113000_59.fit.gz
327,Background noise,KRIM_20120104_113411_00.fit.gz
328,Background noise,INPE_20120104_114501_58.fit.gz
329,Type 3,INPE_20120104_120001_58.fit.gz
330,Background noise,BLEN7M_20120104_121502_25.fit.gz
331,Background noise,BLEN7M_20120104_123003_25.fit.gz
332,Background noise,BLEN7M_20120104_124505_25.fit.gz
333,Background noise,BLEN7M_20120104_130006_25.fit.gz
334,Background noise,BLEN7M_20120104_131507_25.fit.gz
335,Background noise,BLEN7M_20120104_133008_25.fit.gz
336,Background noise,BLEN7M_20120104_134510_25.fit.gz
337,Background noise,BLEN7M_20120104_140011_25.fit.gz
338,Background noise,BLEN7M_20120104_141512_25.fit.gz
339,Background noise,BLEN7M_20120104_143013_25.fit.gz
340,Background noise,BLEN7M_20120104_144515_25.fit.gz
341,Type 2,BLEN7M_20120104_150016_25.fit.gz
342,Background noise,DARO_20120104_151502_59.fit.gz
343,Background noise,INPE_20120104_153000_59.fit.gz
344,Background noise,INPE_20120104_154500_59.fit.gz
345,Background noise,INPE_20120104_160000_59.fit.gz
346,Background noise,INPE_20120104_161500_59.fit.gz
347,Background noise,INPE_20120104_163001_58.fit.gz
348,Background noise,INPE_20120104_164501_58.fit.gz
349,Background noise,INPE_20120104_170001_58.fit.gz
350,Background noise,INPE_20120104_171501_58.fit.gz
351,Background noise,INPE_20120104_173001_58.fit.gz
352,Background noise,INPE_20120104_174501_58.fit.gz
353,Background noise,INPE_20120104_180001_58.fit.gz
354,Background noise,INPE_20120104_181501_58.fit.gz
355,Background noise,INPE_20120104_183001_58.fit.gz
356,Background noise,INPE_20120104_184501_58.fit.gz
357,Background noise,INPE_20120104_190001_58.fit.gz
358,Background noise,INPE_20120104_191501_58.fit.gz
359,Background noise,INPE_20120104_193001_58.fit.gz
360,Background noise,INPE_20120104_194501_58.fit.gz
361,Background noise,ALASKA_20120104_200000_59.fit.gz
362,Background noise,ALASKA_20120104_201500_59.fit.gz
363,Background noise,ALASKA_20120104_203000_59.fit.gz
364,Background noise,ALASKA_20120104_204500_59.fit.gz
365,Background noise,ALASKA_20120104_210000_59.fit.gz
366,Background noise,SWMC_20120104_211130_59.fit.gz
367,Background noise,BIR_20120104_211500_02.fit.gz
368,Background noise,ALASKA_20120104_213000_59.fit.gz
369,Background noise,ALASKA_20120104_214500_59.fit.gz
370,Background noise,ALASKA_20120104_220000_59.fit.gz
371,Background noise,ALASKA_20120104_221500_59.fit.gz
372,Background noise,ALASKA_20120104_223000_59.fit.gz
373,Background noise,ALASKA_20120104_224500_59.fit.gz
374,Background noise,ALASKA_20120104_230000_59.fit.gz
375,Background noise,ALASKA_20120104_231500_59.fit.gz
376,Background noise,ALASKA_20120104_233000_59.fit.gz
377,Background noise,ALASKA_20120104_234500_59.fit.gz
378,Background noise,ALASKA_20120105_000000_59.fit.gz
379,Clear,MRT3_20120105_000841_59.fit.gz
380,Background noise,ALASKA_20120105_001500_59.fit.gz
381,Background noise,ALASKA_20120105_003000_59.fit.gz
382,Background noise,ALASKA_20120105_004500_59.fit.gz
383,Background noise,ALASKA_20120105_010000_59.fit.gz
384,Clear,ALMATY_20120105_014000_59.fit.gz
385,Type 3,ALMATY_20120105_015500_59.fit.gz
386,Type 3,ALMATY_20120105_021000_59.fit.gz
387,Type 3,ALMATY_20120105_022500_59.fit.gz
388,Type 3,ALMATY_20120105_024000_59.fit.gz
389,Type 3,ALMATY_20120105_025500_59.fit.gz
390,Background noise,ALMATY_20120105_031000_59.fit.gz
391,Background noise,ALMATY_20120105_032500_59.fit.gz
392,Background noise,ALMATY_20120105_034000_59.fit.gz
393,Background noise,ALMATY_20120105_035500_59.fit.gz
394,Background noise,MRTU_20120105_041005_59.fit.gz
395,Background noise,MRTU_20120105_042506_59.fit.gz
396,Clear,RCAG_20120105_042959_59.fit.gz
397,Background noise,MRTU_20120105_044006_59.fit.gz
398,Background noise,MRTU_20120105_045507_59.fit.gz
399,Background noise,SWMC_20120105_050000_59.fit.gz
400,Background noise,MRTU_20120105_051007_59.fit.gz
401,Background noise,SWMC_20120105_051500_59.fit.gz
402,Type 2,KRIM_20120105_051938_00.fit.gz
403,Background noise,MRTU_20120105_052507_59.fit.gz
404,Background noise,SWMC_20120105_053000_59.fit.gz
405,Background noise,MRTU_20120105_054007_59.fit.gz
406,Background noise,SWMC_20120105_054500_59.fit.gz
407,Type 2,KRIM_20120105_054938_00.fit.gz
408,Background noise,ALMATY_20120105_055500_59.fit.gz
409,Background noise,SWMC_20120105_060000_59.fit.gz
410,Background noise,SWMC_20120105_061500_59.fit.gz
411,Background noise,KRIM_20120105_061938_00.fit.gz
412,Background noise,ALMATY_20120105_062500_59.fit.gz
413,Background noise,MRTU_20120105_063000_59.fit.gz
414,Background noise,SWMC_20120105_064500_59.fit.gz
415,Background noise,KRIM_20120105_064938_00.fit.gz
416,Background noise,SWMC_20120105_070000_59.fit.gz
417,Background noise,SWMC_20120105_071500_59.fit.gz
418,Background noise,MRO_20120105_072200_60.fit.gz
419,Background noise,MRTU_20120105_073000_59.fit.gz
420,Background noise,MRO_20120105_073700_60.fit.gz
421,Background noise,BLENSW_20120105_074502_59.fit.gz
422,Background noise,KRIM_20120105_074939_00.fit.gz
423,Background noise,BLENSW_20120105_080005_59.fit.gz
424,Background noise,BLENSW_20120105_081510_59.fit.gz
425,Background noise,KRIM_20120105_081939_00.fit.gz
426,Background noise,BLENSW_20120105_083019_59.fit.gz
427,Background noise,BLENSW_20120105_084522_59.fit.gz
428,Background noise,KRIM_20120105_084939_00.fit.gz
429,Background noise,BLENSW_20120105_090026_59.fit.gz
430,Background noise,KRIM_20120105_090439_00.fit.gz
431,Background noise,BLENSW_20120105_091529_59.fit.gz
432,Background noise,KRIM_20120105_091939_00.fit.gz
433,Background noise,BLENSW_20120105_093032_59.fit.gz
434,Background noise,BLENSW_20120105_094536_59.fit.gz
435,Type 3,KRIM_20120105_094939_00.fit.gz
436,Background noise,BLENSW_20120105_100041_59.fit.gz
437,Background noise,BLENSW_20120105_101546_59.fit.gz
438,Background noise,KRIM_20120105_101939_00.fit.gz
439,Background noise,BLENSW_20120105_103048_59.fit.gz
440,Background noise,BLENSW_20120105_104555_59.fit.gz
441,Type 3,KRIM_20120105_104939_00.fit.gz
442,Background noise,BLENSW_20120105_110100_59.fit.gz
443,Background noise,BLEN7M_20120105_111518_25.fit.gz
444,Background noise,BLENSW_20120105_113005_59.fit.gz
445,Background noise,BLENSW_20120105_114509_59.fit.gz
446,Background noise,BLENSW_20120105_120014_59.fit.gz
447,Background noise,BLENSW_20120105_121518_59.fit.gz
448,Background noise,BLENSW_20120105_123021_59.fit.gz
449,Background noise,BLENSW_20120105_124525_59.fit.gz
450,Background noise,BLENSW_20120105_130028_59.fit.gz
451,Background noise,BLENSW_20120105_131531_59.fit.gz
452,Background noise,BLENSW_20120105_133038_59.fit.gz
453,Background noise,BLENSW_20120105_134543_59.fit.gz
454,Background noise,BLENSW_20120105_140045_59.fit.gz
455,Background noise,BLENSW_20120105_141549_59.fit.gz
456,Background noise,BLENSW_20120105_143053_59.fit.gz
457,Background noise,BLENSW_20120105_144555_59.fit.gz
458,Type 2,BLEN7M_20120105_150016_25.fit.gz
459,Background noise,DARO_20120105_151502_59.fit.gz
460,Background noise,INPE_20120105_153000_59.fit.gz
461,Background noise,INPE_20120105_154500_59.fit.gz
462,Background noise,INPE_20120105_160000_59.fit.gz
463,Background noise,INPE_20120105_161500_58.fit.gz
464,Background noise,INPE_20120105_163000_59.fit.gz
465,Background noise,INPE_20120105_164501_58.fit.gz
466,Background noise,INPE_20120105_170001_58.fit.gz
467,Background noise,INPE_20120105_171501_58.fit.gz
468,Background noise,INPE_20120105_173001_58.fit.gz
469,Background noise,INPE_20120105_174501_58.fit.gz
470,Background noise,INPE_20120105_180001_58.fit.gz
471,Background noise,INPE_20120105_181501_58.fit.gz
472,Background noise,INPE_20120105_183001_58.fit.gz
473,Background noise,INPE_20120105_184501_58.fit.gz
474,Background noise,INPE_20120105_190001_58.fit.gz
475,Background noise,INPE_20120105_191501_58.fit.gz
476,Background noise,INPE_20120105_193001_58.fit.gz
477,Background noise,INPE_20120105_194501_58.fit.gz
478,Background noise,ALASKA_20120105_200000_59.fit.gz
479,Background noise,ALASKA_20120105_201500_59.fit.gz
480,Background noise,BIR_20120105_203000_02.fit.gz
481,Background noise,BIR_20120105_204500_02.fit.gz
482,Background noise,ALASKA_20120105_210000_59.fit.gz
483,Background noise,BIR_20120105_211500_02.fit.gz
484,Background noise,ALASKA_20120105_213000_59.fit.gz
485,Background noise,ALASKA_20120105_214500_59.fit.gz
486,Background noise,ALASKA_20120105_220000_59.fit.gz
487,Background noise,ALASKA_20120105_221500_59.fit.gz
488,Background noise,ALASKA_20120105_223000_59.fit.gz
489,Background noise,ALASKA_20120105_224500_59.fit.gz
490,Background noise,ALASKA_20120105_230000_59.fit.gz
491,Background noise,ALASKA_20120105_231500_59.fit.gz
492,Background noise,ALASKA_20120105_233000_59.fit.gz
493,Background noise,ALASKA_20120105_234500_59.fit.gz
494,Background noise,ALASKA_20120106_000000_59.fit.gz
495,Background noise,ALASKA_20120106_001500_59.fit.gz
496,Background noise,ALASKA_20120106_003000_59.fit.gz
497,Background noise,ALASKA_20120106_004500_59.fit.gz
498,Background noise,ALASKA_20120106_010000_59.fit.gz
499,Clear,ALMATY_20120106_014000_59.fit.gz
500,Type 3,ALMATY_20120106_015500_59.fit.gz
501,Background noise,MRTU_20120106_020000_59.fit.gz
502,Clear,ALMATY_20120106_021000_59.fit.gz
503,Background noise,MRTU_20120106_021500_59.fit.gz
504,Background noise,ALMATY_20120106_022500_59.fit.gz
505,Background noise,MRTU_20120106_023000_59.fit.gz
506,Background noise,ALMATY_20120106_024000_59.fit.gz
507,Background noise,MRTU_20120106_024500_59.fit.gz
508,Type 3,ALMATY_20120106_025500_59.fit.gz
509,Background noise,MRTU_20120106_030000_59.fit.gz
510,Clear,ALMATY_20120106_031000_59.fit.gz
511,Background noise,MRTU_20120106_031500_59.fit.gz
512,Type 3,ALMATY_20120106_032500_59.fit.gz
513,Background noise,MRTU_20120106_033005_59.fit.gz
